pixel,max_ts
,0.0
,0.0
,0.0
177058,0.3740142521808921
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
177053,2.3119173877547987
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
177046,4.768852805637932
178076,2.054099124529781
,0.0
178070,2.934266139397279
,0.0
178080,7.7423980838346775
177046,5.380657202913241
,0.0
,0.0
,0.0
,0.0
178070,1.0187927292341417
177053,0.7951167819434646
,0.0
177053,3.332135470595744
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
[178070],1.266937405578425
[178081],2.3038329519428005
,0.0
,0.0
,0.0
[177053],0.06053198719967112
