src,ra_deg,dec_deg,mjd,repeater
FRB20200125A,219.13158333333328,7.7019,58873.510643518515,False
FRB20190614D,65.07554166666665,73.70675,58648.050717708335,False
FRB191108,23.445833333333333,31.858333333333334,58795.82558415509,False
FRB190907.J08+46,122.24999999999999,46.266666666666666,58733.71022350695,True
FRB190907.J08+46,122.24999999999999,46.266666666666666,58741.685844907406,True
FRB190907.J08+46,122.24999999999999,46.266666666666666,58751.66257451389,True
FRB190711,329.4194999999999,-80.35799999999999,58675.07894515046,False
FRB190611,320.7454583333333,-79.39758333333334,58645.24008447917,False
FRB190608,334.0197916666666,-7.898222222222222,58642.950149108794,False
FRB190523,207.065,72.46972222222223,58626.25411822917,False
FRB190102,322.41566666666665,-79.47569444444444,58485.23522559028,False
FRB181228,322.41566666666665,-45.967333333333336,58480.57557986111,False
FRB181123,76.52816666666665,9.595,58445.74246674769,False
FRB181112,327.34845833333327,-52.97094166666667,58434.7300403125,False
FRB181016,236.58683333333332,-25.409055555555554,58407.17842939815,False
FRB180924,326.1052291666667,-40.90002777777778,58385.68278502315,False
FRB180817.J1533+42,233.24999999999997,42.2,58347.07592826389,False
FRB180812.J0112+80,17.999999999999996,80.78333333333333,58342.489963796295,False
FRB180810.J1159+83,179.74999999999997,83.11666666666666,58340.94493626157,False
FRB180810.J0646+34,101.49999999999999,34.86666666666667,58340.72840988426,False
FRB180806.J1515+75,228.74999999999997,75.63333333333334,58336.592397071756,False
FRB180801.J2130+72,322.49999999999994,72.71666666666667,58331.3661434375,False
FRB180730.J0353+87,58.24999999999999,87.2,58329.150994641204,False
FRB180729.J1316+55,199.0,55.53333333333333,58328.03355599537,False
FRB180729.J0558+56,89.49999999999999,56.5,58328.72798909722,False
FRB180727.J1311+26,197.74999999999997,26.433333333333334,58326.03616289352,False
FRB180725.J0613+67,93.24999999999999,67.06666666666666,58324.74968533565,True
FRB180725.J0613+67,3.22125,67.06641666666667,58324.74980457176,True
FRB180714,266.54999999999995,-11.763055555555555,58313.41676736111,False
FRB180528,99.70749999999998,-49.89972222222222,58266.18334375,False
FRB180525,219.99999999999997,-2.2,58263.638269849536,False
FRB180515,348.29999999999995,-42.24611111111111,58253.914889872685,False
FRB180430,102.74999999999999,-9.95,58238.41665162037,False
FRB180417,186.23333333333332,14.216666666666667,58225.55452546296,False
FRB180324,93.99999999999999,-34.78333333333333,58201.397068356484,False
FRB180321,8.25,42.03,58198.29576388889,False
FRB180315,293.74999999999994,-26.833333333333332,58192.21216417824,False
FRB180311,322.88924999999995,-57.74075,58188.17493981482,False
FRB180309,321.18249999999995,-33.97902777777778,58186.117742939816,False
FRB180212,215.24999999999997,-3.5833333333333335,58161.989634247686,False
FRB180131,5.457916666666666,-40.68333333333333,58149.23963333333,False
FRB180130,5.467499999999999,-38.56666666666667,58148.205208252315,False
FRB180128.2,335.49999999999994,-60.25,58146.20378236111,False
FRB180128.0,208.99999999999997,-6.716666666666667,58146.04141917824,False
FRB180119,0.8720833333333333,-12.733333333333333,58137.517022534725,False
FRB180110,5.470833333333332,-35.45,58128.315682395834,False
FRB171216,51.99999999999999,-57.06666666666667,58103.74943081019,False
FRB171213,54.74999999999999,-10.933333333333334,58100.599079479165,False
FRB171209,237.60416666666666,-46.17222222222222,58096.857216435186,False
FRB171116,0.8791666666666667,-17.233333333333334,58073.62469103009,False
FRB171020,333.74999999999994,-19.666666666666668,58046.43609488426,False
FRB171019,5.572916666666665,-8.666666666666666,58045.56018630787,False
FRB171004,2.9899999999999993,-11.9,58030.141426504626,False
FRB171003,3.1229166666666663,-14.116666666666667,58029.171803020836,False
FRB170922,322.460875,-7.994580555555555,58018.47469212963,False
FRB170906,5.499166666666666,-19.95,58002.54648712963,False
FRB170827,12.327749999999998,-65.55063888888888,57992.680763888886,False
FRB170712,339.0,-60.95,57946.55714576389,False
FRB170707,44.74999999999999,-57.266666666666666,57941.262203171296,False
FRB170606,83.49999999999999,41.75,57910.4190625,False
FRB170428,326.75,-41.85,57871.75179050926,False
FRB170416,333.24999999999994,-55.03333333333333,57859.9661203588,False
FRB170107,2.8470833333333325,-5.0,57760.83689975694,False
FRB161202,356.0,40.8,57724.558958333335,False
FRB160920,83.49999999999999,41.75,57651.128969907404,False
FRB160608,114.17499999999998,-40.797777777777775,57547.161818148146,False
FRB160410,130.35416666666666,6.084722222222222,57488.35670925926,False
FRB160317,118.44583333333331,-29.608611111111113,57464.37542280093,False
FRB160206,15.249999999999996,41.63,57424.43530092593,False
FRB160102,339.7041666666666,-30.180555555555557,57389.35323349537,False
FRB151230,145.20833333333331,-3.4513888888888893,57386.67762181713,False
FRB151206,290.35416666666663,-4.131666666666666,57362.262416412035,False
FRB151125,22.749999999999996,30.979999999999997,57351.65458333334,True
FRB151125,22.999999999999996,30.979999999999997,57354.65550925926,True
FRB151018,80.24999999999999,33.1,57313.045694444445,False
FRB150807,340.6291666666666,-55.07833333333333,57241.74578506944,False
FRB150610,161.1083333333333,-40.08972222222222,57183.22707634259,False
FRB150418,109.14583333333331,-19.011111111111113,57130.18688260417,False
FRB150215,274.3625,-4.904166666666667,57068.86228835648,False
FRB141216,3.4999999999999996,41.64,57007.544027777774,False
FRB141113,93.25041666666665,18.786444444444445,56974.3214724537,False
FRB140514,338.5249999999999,-12.312777777777779,56791.718183564815,False
FRB140212,22.749999999999996,30.540000000000003,56700.43835648148,False
FRB131104,101.04166666666666,-51.27777777777778,56600.752907407405,False
FRB131030,6.249999999999999,39.980000000000004,56595.67586805556,False
