src,ra_deg,dec_deg,mjd
FRB121102,83.0375,33.08694444444445,56233.28284
FRB121102,83.0375,33.08694444444445,57159.7376
FRB121102,83.0375,33.08694444444445,57159.74422000001
FRB121102,83.0375,33.08694444444445,57175.693139999996
FRB121102,83.0375,33.08694444444445,57175.69972999999
FRB121102,83.0375,33.08694444444445,57175.74258
FRB121102,83.0375,33.08694444444445,57175.74284
FRB121102,83.0375,33.08694444444445,57175.74351
FRB121102,83.0375,33.08694444444445,57175.745670000004
FRB121102,83.0375,33.08694444444445,57175.74762
FRB121102,83.0375,33.08694444444445,57175.748289999996
FRB121102,83.0375,33.08694444444445,57339.35605
FRB121102,83.0375,33.08694444444445,57345.44769
FRB121102,83.0375,33.08694444444445,57345.452489999996
FRB121102,83.0375,33.08694444444445,57345.4576
FRB121102,83.0375,33.08694444444445,57345.46241
FRB121102,83.0375,33.08694444444445,57364.20462999999
FRB121102,83.0375,33.08694444444445,57364.20462999999
FRB121102,83.0375,33.08694444444445,57473.84669
FRB121102,83.0375,33.08694444444445,57611.45295
FRB121102,83.0375,33.08694444444445,57620.39222
FRB121102,83.0375,33.08694444444445,57620.39407
FRB121102,83.0375,33.08694444444445,57620.39962999999
FRB121102,83.0375,33.08694444444445,57623.744020000006
FRB121102,83.0375,33.08694444444445,57623.744029999994
FRB121102,83.0375,33.08694444444445,57625.24671
FRB121102,83.0375,33.08694444444445,57625.24766
FRB121102,83.0375,33.08694444444445,57633.679860000004
FRB121102,83.0375,33.08694444444445,57633.679860000004
FRB121102,83.0375,33.08694444444445,57633.69516
FRB121102,83.0375,33.08694444444445,57633.69516
FRB121102,83.0375,33.08694444444445,57636.489610000004
FRB121102,83.0375,33.08694444444445,57638.149939999996
FRB121102,83.0375,33.08694444444445,57638.465970000005
FRB121102,83.0375,33.08694444444445,57638.467560000005
FRB121102,83.0375,33.08694444444445,57638.499370000005
FRB121102,83.0375,33.08694444444445,57640.41384
FRB121102,83.0375,33.08694444444445,57641.45945
FRB121102,83.0375,33.08694444444445,57641.46456
FRB121102,83.0375,33.08694444444445,57642.47157
FRB121102,83.0375,33.08694444444445,57642.47546
FRB121102,83.0375,33.08694444444445,57643.4573
FRB121102,83.0375,33.08694444444445,57643.4573
FRB121102,83.0375,33.08694444444445,57644.41107
FRB121102,83.0375,33.08694444444445,57644.41107
FRB121102,83.0375,33.08694444444445,57644.41412
FRB121102,83.0375,33.08694444444445,57644.41488
FRB121102,83.0375,33.08694444444445,57644.41631
FRB121102,83.0375,33.08694444444445,57644.43017000001
FRB121102,83.0375,33.08694444444445,57644.43017000001
FRB121102,83.0375,33.08694444444445,57644.432239999995
FRB121102,83.0375,33.08694444444445,57644.43879
FRB121102,83.0375,33.08694444444445,57644.438839999995
FRB121102,83.0375,33.08694444444445,57644.443589999995
FRB121102,83.0375,33.08694444444445,57644.446789999995
FRB121102,83.0375,33.08694444444445,57644.44772999999
FRB121102,83.0375,33.08694444444445,57644.44991
FRB121102,83.0375,33.08694444444445,57644.4516
FRB121102,83.0375,33.08694444444445,57644.45447999999
FRB121102,83.0375,33.08694444444445,57644.457879999994
FRB121102,83.0375,33.08694444444445,57644.46622
FRB121102,83.0375,33.08694444444445,57644.468089999995
FRB121102,83.0375,33.08694444444445,57645.411089999994
FRB121102,83.0375,33.08694444444445,57645.41165
FRB121102,83.0375,33.08694444444445,57645.41364
FRB121102,83.0375,33.08694444444445,57645.41747000001
FRB121102,83.0375,33.08694444444445,57645.4179
FRB121102,83.0375,33.08694444444445,57645.42026
FRB121102,83.0375,33.08694444444445,57645.42245
FRB121102,83.0375,33.08694444444445,57645.424139999996
FRB121102,83.0375,33.08694444444445,57645.4289
FRB121102,83.0375,33.08694444444445,57645.429579999996
FRB121102,83.0375,33.08694444444445,57645.42959
FRB121102,83.0375,33.08694444444445,57645.43062000001
FRB121102,83.0375,33.08694444444445,57645.43147999999
FRB121102,83.0375,33.08694444444445,57645.44081
FRB121102,83.0375,33.08694444444445,57645.44448
FRB121102,83.0375,33.08694444444445,57645.44492
FRB121102,83.0375,33.08694444444445,57645.44764
FRB121102,83.0375,33.08694444444445,57645.4488
FRB121102,83.0375,33.08694444444445,57645.44999
FRB121102,83.0375,33.08694444444445,57645.44999
FRB121102,83.0375,33.08694444444445,57645.453429999994
FRB121102,83.0375,33.08694444444445,57645.45364
FRB121102,83.0375,33.08694444444445,57645.46211
FRB121102,83.0375,33.08694444444445,57645.46419
FRB121102,83.0375,33.08694444444445,57645.47445
FRB121102,83.0375,33.08694444444445,57646.417310000004
FRB121102,83.0375,33.08694444444445,57646.42781
FRB121102,83.0375,33.08694444444445,57646.46599999999
FRB121102,83.0375,33.08694444444445,57646.466010000004
FRB121102,83.0375,33.08694444444445,57647.23235
FRB121102,83.0375,33.08694444444445,57647.23235
FRB121102,83.0375,33.08694444444445,57647.29649
FRB121102,83.0375,33.08694444444445,57648.43079
FRB121102,83.0375,33.08694444444445,57648.436910000004
FRB121102,83.0375,33.08694444444445,57648.436910000004
FRB121102,83.0375,33.08694444444445,57648.45811
FRB121102,83.0375,33.08694444444445,57649.17381
FRB121102,83.0375,33.08694444444445,57649.21821
FRB121102,83.0375,33.08694444444445,57649.33372
FRB121102,83.0375,33.08694444444445,57649.42816
FRB121102,83.0375,33.08694444444445,57649.45176
FRB121102,83.0375,33.08694444444445,57649.45179
FRB121102,83.0375,33.08694444444445,57651.411479999995
FRB121102,83.0375,33.08694444444445,57651.41857
FRB121102,83.0375,33.08694444444445,57651.419089999996
FRB121102,83.0375,33.08694444444445,57651.45206
FRB121102,83.0375,33.08694444444445,57747.12956
FRB121102,83.0375,33.08694444444445,57747.137189999994
FRB121102,83.0375,33.08694444444445,57747.146270000005
FRB121102,83.0375,33.08694444444445,57747.15157
FRB121102,83.0375,33.08694444444445,57747.15447
FRB121102,83.0375,33.08694444444445,57747.16029
FRB121102,83.0375,33.08694444444445,57747.160339999995
FRB121102,83.0375,33.08694444444445,57747.16583
FRB121102,83.0375,33.08694444444445,57747.166370000006
FRB121102,83.0375,33.08694444444445,57747.175970000004
FRB121102,83.0375,33.08694444444445,57748.12564
FRB121102,83.0375,33.08694444444445,57748.15352000001
FRB121102,83.0375,33.08694444444445,57748.155210000004
FRB121102,83.0375,33.08694444444445,57748.15761
FRB121102,83.0375,33.08694444444445,57748.1757
FRB121102,83.0375,33.08694444444445,57758.16262
FRB121102,83.0375,33.08694444444445,57762.15535
FRB121102,83.0375,33.08694444444445,57763.975660000004
FRB121102,83.0375,33.08694444444445,57765.04953
FRB121102,83.0375,33.08694444444445,57765.06479
FRB121102,83.0375,33.08694444444445,57765.06905
FRB121102,83.0375,33.08694444444445,57765.100829999996
FRB121102,83.0375,33.08694444444445,57765.100829999996
FRB121102,83.0375,33.08694444444445,57765.10868
FRB121102,83.0375,33.08694444444445,57765.12078
FRB121102,83.0375,33.08694444444445,57765.12078
FRB121102,83.0375,33.08694444444445,57765.1365
FRB121102,83.0375,33.08694444444445,57765.143339999995
FRB121102,83.0375,33.08694444444445,57768.159479999995
FRB121102,83.0375,33.08694444444445,57769.14332999999
FRB121102,83.0375,33.08694444444445,57769.68811
FRB121102,83.0375,33.08694444444445,57769.7023
FRB121102,83.0375,33.08694444444445,57769.763960000004
FRB121102,83.0375,33.08694444444445,57771.9548
FRB121102,83.0375,33.08694444444445,57771.958770000005
FRB121102,83.0375,33.08694444444445,57772.6649
FRB121102,83.0375,33.08694444444445,57772.687999999995
FRB121102,83.0375,33.08694444444445,57772.758
FRB121102,83.0375,33.08694444444445,57772.762
FRB121102,83.0375,33.08694444444445,57772.78400000001
FRB121102,83.0375,33.08694444444445,57778.6885
FRB121102,83.0375,33.08694444444445,57778.756270000005
FRB121102,83.0375,33.08694444444445,57778.756270000005
FRB121102,83.0375,33.08694444444445,57778.79919
FRB121102,83.0375,33.08694444444445,57779.95752999999
FRB121102,83.0375,33.08694444444445,57779.97839
FRB121102,83.0375,33.08694444444445,57781.77072000001
FRB121102,83.0375,33.08694444444445,57781.77132000001
FRB121102,83.0375,33.08694444444445,57785.973379999996
FRB121102,83.0375,33.08694444444445,57787.82205
FRB121102,83.0375,33.08694444444445,57787.84495
FRB121102,83.0375,33.08694444444445,57791.94221
FRB121102,83.0375,33.08694444444445,57791.94684
FRB121102,83.0375,33.08694444444445,57797.92671
FRB121102,83.0375,33.08694444444445,57797.93005
FRB121102,83.0375,33.08694444444445,57798.872129999996
FRB121102,83.0375,33.08694444444445,57803.692910000005
FRB121102,83.0375,33.08694444444445,57805.95949
FRB121102,83.0375,33.08694444444445,57821.78532
FRB121102,83.0375,33.08694444444445,57821.789489999996
FRB121102,83.0375,33.08694444444445,57826.8416
FRB121102,83.0375,33.08694444444445,57826.84583
FRB121102,83.0375,33.08694444444445,57826.851910000005
FRB121102,83.0375,33.08694444444445,57826.862279999994
FRB121102,83.0375,33.08694444444445,57826.86595
FRB121102,83.0375,33.08694444444445,57927.57007
FRB121102,83.0375,33.08694444444445,57928.72636
FRB121102,83.0375,33.08694444444445,57991.49905
FRB121102,83.0375,33.08694444444445,57991.51723
FRB121102,83.0375,33.08694444444445,57991.53535
FRB121102,83.0375,33.08694444444445,57991.55354
FRB121102,83.0375,33.08694444444445,57991.57166
FRB121102,83.0375,33.08694444444445,57991.58976
FRB121102,83.0375,33.08694444444445,57991.60787000001
FRB121102,83.0375,33.08694444444445,57991.62598
FRB121102,83.0375,33.08694444444445,57991.644089999994
FRB121102,83.0375,33.08694444444445,57991.662189999995
FRB121102,83.0375,33.08694444444445,58434.87531
FRB121102,83.0375,33.08694444444445,58434.88951
FRB121102,83.0375,33.08694444444445,58434.894779999995
FRB121102,83.0375,33.08694444444445,58434.9476
FRB121102,83.0375,33.08694444444445,58434.96627999999
FRB121102,83.0375,33.08694444444445,58434.973170000005
FRB121102,83.0375,33.08694444444445,58435.990829999995
FRB121102,83.0375,33.08694444444445,58436.04034
FRB121102,83.0375,33.08694444444445,58436.051470000006
FRB121102,83.0375,33.08694444444445,58436.054579999996
FRB121102,83.0375,33.08694444444445,58436.107670000005
FRB121102,83.0375,33.08694444444445,58436.11083
FRB121102,83.0375,33.08694444444445,58436.121979999996
FRB121102,83.0375,33.08694444444445,58436.12375
FRB121102,83.0375,33.08694444444445,58436.13212
FRB121102,83.0375,33.08694444444445,58436.192189999994
FRB121102,83.0375,33.08694444444445,58436.235120000005
FRB121102,83.0375,33.08694444444445,58436.23753
FRB121102,83.0375,33.08694444444445,58436.24212
FRB121102,83.0375,33.08694444444445,58436.91926
FRB121102,83.0375,33.08694444444445,58436.96431
FRB121102,83.0375,33.08694444444445,58436.99133
FRB121102,83.0375,33.08694444444445,58437.05164
