src,ra_deg,dec_deg,mjd,repeater
FRB20190103E,262.9,45.8,58486.77656009999,False
FRB20190604A,218.8,53.3,58638.243023695,True
FRB20190604A,218.8,53.3,58640.232309365994,True
FRB20190121A,354.7,78.6,58504.981591432,False
FRB20180907E,167.9,47.1,58368.83417969,False
FRB20180725A,93.42,67.1,58324.749803205996,False
FRB20190110B,131.7,50.2,58493.39450505,False
FRB20181231A,29.7,21.0,58483.13803653901,False
FRB20190219B,246.3,57.9,58533.602108855,False
FRB20190210B,104.2,23.7,58524.233696043,False
FRB20180904A,286.6,81.2,58365.6713215157,False
FRB20180920B,191.1,63.5,58381.86207564,False
FRB20190501B,261.5,54.4,58604.454042709,False
FRB20181231B,128.8,56.0,58483.413883998,False
FRB20190220A,237.2,74.2,58534.58166240001,False
FRB20181116B,232.7,64.94,58438.823545129,False
FRB20190515B,0.8,3.4,58618.686789629006,False
FRB20180814B,238.26,74.0,58344.597418957004,False
FRB20190619B,231.7,82.2,58653.24015755,False
FRB20190301B,69.5,74.1,58543.08615686,False
FRB20190215B,335.0,45.3,58529.8625187983,False
FRB20190429B,329.9,4.0,58602.64820601,False
FRB20190115A,45.6,54.3,58498.14432469,False
FRB20180810B,180.41,83.1,58340.944953709004,False
FRB20190402A,178.6,47.1,58575.29873229,False
FRB20190421B,82.49,62.31,58594.977618107005,False
FRB20190531B,259.91,49.3,58634.3665001787,False
FRB20190320B,250.4,39.6,58562.533028513,False
FRB20181118B,58.3,10.8,58440.335794886,False
FRB20181022D,179.2,36.5,58413.745648785996,False
FRB20181104C,77.1,17.4,58426.42715629731,False
FRB20190414B,246.9,57.5,58587.46045947,False
FRB20190328C,73.8,82.0,58570.517506133,False
FRB20181116A,36.05,4.5,58438.281221834004,False
FRB20181124A,176.0,63.5,58446.64522239599,False
FRB20190317F,236.25,47.1,58559.506890645,False
FRB20190415C,74.8,34.8,58588.974838987,False
FRB20190112A,257.98,61.2,58495.737167739004,False
FRB20181221B,306.31,80.98,58473.941439357004,False
FRB20190412A,243.5,61.9,58585.454380227995,False
FRB20190217A,94.9,43.1,58531.188864142,False
FRB20190701A,277.5,59.0,58665.327921525,False
FRB20190130A,25.6,13.2,58513.04487554,False
FRB20190128D,283.32,17.4,58511.767055415,False
FRB20190102A,9.3,26.72,58485.075854265,False
FRB20190605C,168.32,-5.19,58639.097765572995,False
FRB20190423C,349.1,86.97,58596.733670713,False
FRB20190318A,324.1,74.5,58560.738919622,False
FRB20190415B,8.9,54.85,58588.793820000006,False
FRB20190224D,331.9,89.1,58538.323958192996,False
FRB20190218A,184.1,56.4,58532.430714165,False
FRB20190107B,33.5,83.4,58490.14044362,False
FRB20190304B,204.9,24.2,58546.453485317004,False
FRB20181123A,300.76,55.9,58445.994296863,False
FRB20190325B,183.9,30.32,58567.33568434,False
FRB20190221D,24.8,60.9,58535.978568166,False
FRB20190530A,68.74,60.6,58633.838741225,False
FRB20190323D,56.9,46.9,58565.9912969,False
FRB20190527A,12.5,7.99,58630.6862003,False
FRB20190203A,133.7,70.8,58517.331406207,False
FRB20181022C,141.6,83.8,58413.14445573,False
FRB20190206A,244.9,9.4,58520.632920742,False
FRB20190128C,69.8,78.9,58511.67456895,False
FRB20180925B,145.5,20.99,58386.727076655996,False
FRB20190308B,38.59,83.6,58550.4669946,False
FRB20181226E,303.6,73.6,58478.910255335,False
