src,ra_deg,dec_deg,mjd,repeater
FRB20190326A,161.9,74.2,58568.27726197,False
FRB20181115A,142.98,56.4,58437.57983849,False
FRB20190613B,65.75,42.7,58647.78915864,False
FRB20190622A,299.0,85.8,58656.40714944,False
FRB20190201B,118.2,55.6,58515.29523079401,False
FRB20190516B,167.3,7.4,58619.151392662,False
FRB20190212C,172.6,28.14,58526.42003101,False
FRB20181119C,190.1,82.2,58441.71283696,False
FRB20190429A,281.1,59.4,58602.50770929,False
FRB20190621B,193.1,55.6,58655.12005026,False
FRB20181222E,50.64,87.0,58474.718895114005,False
FRB20181219C,17.8,14.1,58471.140031441,False
FRB20190420B,94.7,70.12,58593.019502033,False
FRB20190618A,321.3,25.44,58652.487644312,False
FRB20181128C,268.77,49.7,58450.89015425,False
FRB20180910A,352.8,88.2,58371.337577180995,False
FRB20190124D,237.3,81.2,58507.646184324,False
FRB20190203B,130.6,61.9,58517.32614952,False
FRB20181117A,147.7,52.5,58439.584451364004,False
FRB20180923D,169.08,48.75,58384.79643050981,False
FRB20181224A,355.11,44.56,58476.061732617,False
FRB20190607A,26.23,23.66,58641.694128144,False
FRB20181014A,46.0,63.3,58405.402640779,False
FRB20190222A,313.1,69.8,58536.781960874,True
FRB20190222A,313.1,69.8,58543.752111965994,True
FRB20190606B,108.8,86.9,58640.93030419,False
